epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
140000,0.7823,0.1104,0.0757,0.0388,0.0000,0.0000,0.0000,0,22.0,0.9695,1.0000,0.0824
142000,0.7787,0.0947,0.0669,0.0320,0.0000,0.0000,0.0000,0,21.9,0.9702,0.9980,0.0843
144000,0.7782,0.1135,0.0842,0.0317,0.0000,0.0000,0.0000,0,21.5,0.9702,1.0000,0.0837
146000,0.7822,0.1003,0.0706,0.0334,0.0000,0.0000,0.0000,0,22.8,0.9688,1.0000,0.0837
148000,0.7823,0.1067,0.0745,0.0352,0.0000,0.0000,0.0000,0,20.5,0.9724,1.0000,0.0796
150000,0.7849,0.1042,0.0667,0.0403,0.0000,0.0000,0.0000,0,22.8,0.9675,1.0000,0.0813
152000,0.7812,0.0964,0.0681,0.0310,0.0000,0.0000,0.0000,0,21.4,0.9705,1.0000,0.0804
154000,0.7823,0.1074,0.0789,0.0322,0.0000,0.0000,0.0000,0,21.4,0.9709,1.0000,0.0854
156000,0.7776,0.0996,0.0671,0.0361,0.0000,0.0000,0.0000,0,22.4,0.9685,1.0000,0.0867
158000,0.7747,0.1018,0.0725,0.0334,0.0000,0.0000,0.0000,0,21.4,0.9705,1.0000,0.0811
160000,0.7811,0.1038,0.0659,0.0417,0.0000,0.0000,0.0000,0,21.6,0.9697,1.0000,0.0821
162000,0.7778,0.1047,0.0732,0.0352,0.0000,0.0000,0.0000,0,21.8,0.9702,0.9980,0.0829
164000,0.7834,0.1082,0.0759,0.0374,0.0000,0.0000,0.0000,0,21.2,0.9705,1.0000,0.0825
166000,0.7830,0.1074,0.0740,0.0371,0.0000,0.0000,0.0000,0,20.0,0.9727,1.0000,0.0855
168000,0.7830,0.1069,0.0720,0.0391,0.0000,0.0000,0.0000,0,21.0,0.9717,1.0000,0.0847
170000,0.7798,0.1150,0.0857,0.0330,0.0000,0.0000,0.0000,0,20.1,0.9731,1.0000,0.0811
172000,0.7764,0.1155,0.0803,0.0371,0.0000,0.0000,0.0000,0,20.5,0.9724,1.0000,0.0838
174000,0.7828,0.0967,0.0684,0.0320,0.0000,0.0000,0.0000,0,20.3,0.9731,1.0000,0.0866
176000,0.7814,0.1023,0.0747,0.0337,0.0000,0.0000,0.0000,0,20.9,0.9717,1.0000,0.0848
178000,0.7780,0.1011,0.0713,0.0327,0.0000,0.0000,0.0000,0,23.1,0.9656,1.0000,0.0841
180000,0.7731,0.1072,0.0750,0.0361,0.0000,0.0000,0.0000,0,21.9,0.9702,1.0000,0.0823
182000,0.7788,0.0967,0.0674,0.0327,0.0000,0.0000,0.0000,0,21.2,0.9722,1.0000,0.0842
184000,0.7760,0.1042,0.0718,0.0359,0.0000,0.0000,0.0000,0,18.9,0.9749,1.0000,0.0856
186000,0.7791,0.1042,0.0725,0.0344,0.0000,0.0000,0.0000,0,22.4,0.9688,1.0000,0.0821
188000,0.7784,0.1011,0.0710,0.0327,0.0000,0.0000,0.0000,0,21.2,0.9712,1.0000,0.0843
190000,0.7802,0.0972,0.0637,0.0378,0.0000,0.0000,0.0000,0,24.4,0.9656,1.0000,0.0838
192000,0.7845,0.1116,0.0730,0.0420,0.0000,0.0000,0.0000,0,21.4,0.9712,1.0000,0.0812
194000,0.7776,0.1096,0.0764,0.0364,0.0000,0.0000,0.0000,0,22.4,0.9688,1.0000,0.0848
196000,0.7786,0.1035,0.0725,0.0364,0.0000,0.0000,0.0000,0,19.2,0.9744,1.0000,0.0855
