epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
274000,0.7872,0.1213,0.0864,0.0405,0.0000,0.0000,0.0000,0,24.3,0.9656,1.0000,0.0799
276000,0.7778,0.1265,0.0916,0.0391,0.0000,0.0000,0.0000,0,26.0,0.9634,1.0000,0.0786
278000,0.7821,0.1221,0.0881,0.0398,0.0000,0.0000,0.0000,0,22.7,0.9697,1.0000,0.0795
280000,0.7804,0.1331,0.0957,0.0439,0.0000,0.0000,0.0002,0,22.2,0.9709,1.0000,0.0815
282000,0.7756,0.1096,0.0808,0.0339,0.0000,0.0000,0.0000,0,25.5,0.9648,1.0000,0.0786
284000,0.7783,0.1187,0.0854,0.0369,0.0000,0.0000,0.0000,0,22.2,0.9705,1.0000,0.0784
286000,0.7784,0.1257,0.0886,0.0417,0.0000,0.0000,0.0000,0,20.9,0.9736,0.9980,0.0772
288000,0.7792,0.1257,0.0889,0.0413,0.0000,0.0000,0.0000,0,23.4,0.9668,0.9980,0.0752
290000,0.7751,0.1145,0.0852,0.0339,0.0000,0.0000,0.0000,0,22.0,0.9714,1.0000,0.0783
292000,0.7797,0.1147,0.0818,0.0364,0.0000,0.0000,0.0000,0,21.6,0.9722,1.0000,0.0771
294000,0.7783,0.1179,0.0852,0.0361,0.0000,0.0000,0.0000,0,21.4,0.9727,1.0000,0.0789
296000,0.7765,0.1182,0.0828,0.0398,0.0000,0.0000,0.0000,0,21.2,0.9719,1.0000,0.0774
298000,0.7820,0.1279,0.0918,0.0415,0.0000,0.0000,0.0000,0,22.5,0.9695,0.9980,0.0797
300000,0.7834,0.1289,0.0852,0.0476,0.0000,0.0000,0.0000,0,22.1,0.9695,1.0000,0.0774
302000,0.7715,0.1145,0.0815,0.0378,0.0000,0.0000,0.0000,0,24.0,0.9668,1.0000,0.0777
304000,0.7812,0.1145,0.0771,0.0403,0.0000,0.0000,0.0000,0,24.3,0.9666,1.0000,0.0791
306000,0.7729,0.1230,0.0867,0.0413,0.0000,0.0000,0.0000,0,24.6,0.9663,1.0000,0.0784
308000,0.7767,0.1160,0.0796,0.0408,0.0000,0.0000,0.0000,0,21.9,0.9695,1.0000,0.0824
310000,0.7760,0.1152,0.0808,0.0371,0.0000,0.0000,0.0000,0,22.7,0.9697,1.0000,0.0774
312000,0.7767,0.1155,0.0803,0.0378,0.0000,0.0000,0.0000,0,21.8,0.9719,1.0000,0.0788
314000,0.7811,0.1187,0.0891,0.0337,0.0000,0.0000,0.0000,0,22.2,0.9707,1.0000,0.0795
316000,0.7765,0.1243,0.0862,0.0425,0.0000,0.0000,0.0000,0,22.5,0.9688,1.0000,0.0829
318000,0.7842,0.1267,0.0913,0.0410,0.0000,0.0000,0.0000,0,23.8,0.9673,1.0000,0.0802
320000,0.7787,0.1145,0.0881,0.0300,0.0000,0.0000,0.0000,0,26.3,0.9641,1.0000,0.0781
322000,0.7789,0.1238,0.0952,0.0347,0.0000,0.0000,0.0000,0,24.3,0.9666,1.0000,0.0764
324000,0.7803,0.1213,0.0876,0.0359,0.0000,0.0000,0.0000,0,24.6,0.9644,1.0000,0.0801
326000,0.7739,0.1101,0.0771,0.0359,0.0000,0.0000,0.0000,0,24.0,0.9675,1.0000,0.0821
328000,0.7811,0.1221,0.0857,0.0398,0.0000,0.0000,0.0000,0,22.6,0.9712,1.0000,0.0793
330000,0.7808,0.1201,0.0820,0.0435,0.0000,0.0000,0.0000,0,23.5,0.9690,0.9980,0.0751
332000,0.7803,0.1279,0.0916,0.0400,0.0000,0.0000,0.0000,0,21.8,0.9712,0.9980,0.0808
334000,0.7858,0.1206,0.0891,0.0359,0.0000,0.0000,0.0000,0,21.4,0.9722,1.0000,0.0788
336000,0.7761,0.1194,0.0869,0.0378,0.0000,0.0000,0.0000,0,22.2,0.9702,1.0000,0.0792
338000,0.7825,0.1226,0.0801,0.0471,0.0000,0.0000,0.0000,0,23.6,0.9673,1.0000,0.0778
340000,0.7794,0.1128,0.0745,0.0425,0.0000,0.0000,0.0000,0,24.7,0.9651,1.0000,0.0801
342000,0.7823,0.1106,0.0833,0.0312,0.0000,0.0000,0.0000,0,24.9,0.9644,1.0000,0.0822
344000,0.7802,0.1113,0.0771,0.0391,0.0000,0.0000,0.0000,0,25.0,0.9653,1.0000,0.0801
346000,0.7753,0.1187,0.0862,0.0361,0.0000,0.0000,0.0000,0,23.9,0.9685,1.0000,0.0800
348000,0.7782,0.1204,0.0889,0.0371,0.0000,0.0000,0.0000,0,26.7,0.9604,1.0000,0.0797
350000,0.7742,0.1206,0.0872,0.0410,0.0000,0.0000,0.0000,0,22.8,0.9683,1.0000,0.0794
352000,0.7786,0.1165,0.0857,0.0356,0.0000,0.0000,0.0000,0,26.3,0.9629,1.0000,0.0808
354000,0.7841,0.1184,0.0850,0.0371,0.0000,0.0000,0.0000,0,22.9,0.9685,1.0000,0.0801
356000,0.7832,0.1118,0.0784,0.0386,0.0000,0.0000,0.0000,0,22.9,0.9692,1.0000,0.0802
358000,0.7792,0.1130,0.0835,0.0320,0.0000,0.0000,0.0000,0,24.8,0.9653,1.0000,0.0783
360000,0.7782,0.1064,0.0786,0.0305,0.0000,0.0000,0.0000,0,24.9,0.9648,0.9980,0.0793
362000,0.7776,0.1262,0.0955,0.0352,0.0000,0.0000,0.0000,0,22.7,0.9688,1.0000,0.0762
364000,0.7806,0.1162,0.0889,0.0332,0.0000,0.0000,0.0000,0,24.7,0.9663,1.0000,0.0786
366000,0.7782,0.1221,0.0898,0.0374,0.0000,0.0000,0.0000,0,24.1,0.9661,1.0000,0.0807
368000,0.7777,0.1187,0.0850,0.0374,0.0000,0.0000,0.0000,0,23.4,0.9683,1.0000,0.0764
370000,0.7800,0.1106,0.0789,0.0354,0.0000,0.0000,0.0000,0,22.1,0.9707,1.0000,0.0762
372000,0.7772,0.1235,0.0845,0.0444,0.0000,0.0000,0.0000,0,22.1,0.9712,1.0000,0.0784
374000,0.7806,0.1204,0.0911,0.0339,0.0000,0.0000,0.0000,0,22.6,0.9702,1.0000,0.0797
376000,0.7810,0.1277,0.0938,0.0369,0.0000,0.0000,0.0000,0,22.9,0.9683,1.0000,0.0786
378000,0.7791,0.1240,0.0874,0.0417,0.0000,0.0000,0.0000,0,25.7,0.9644,1.0000,0.0804
380000,0.7786,0.1147,0.0845,0.0337,0.0000,0.0000,0.0000,0,25.0,0.9661,1.0000,0.0808
382000,0.7787,0.1106,0.0786,0.0374,0.0000,0.0000,0.0000,0,22.0,0.9702,0.9980,0.0802
384000,0.7775,0.1167,0.0833,0.0398,0.0000,0.0000,0.0000,0,24.1,0.9666,1.0000,0.0794
386000,0.7778,0.1233,0.0886,0.0388,0.0000,0.0000,0.0000,0,24.2,0.9663,1.0000,0.0786
388000,0.7781,0.1206,0.0833,0.0432,0.0000,0.0000,0.0000,0,25.0,0.9651,1.0000,0.0765
390000,0.7767,0.1301,0.0942,0.0415,0.0000,0.0000,0.0000,0,25.0,0.9641,1.0000,0.0791
392000,0.7812,0.1152,0.0820,0.0371,0.0000,0.0000,0.0000,0,22.6,0.9700,1.0000,0.0787
394000,0.7771,0.1211,0.0859,0.0388,0.0000,0.0000,0.0000,0,22.3,0.9712,1.0000,0.0793
396000,0.7806,0.1191,0.0854,0.0381,0.0000,0.0000,0.0000,0,23.2,0.9670,1.0000,0.0781
398000,0.7806,0.1174,0.0840,0.0364,0.0000,0.0000,0.0000,0,25.8,0.9629,1.0000,0.0785
400000,0.7802,0.1218,0.0828,0.0449,0.0000,0.0000,0.0000,0,25.5,0.9631,1.0000,0.0774
402000,0.7777,0.1177,0.0852,0.0378,0.0000,0.0000,0.0000,0,23.2,0.9675,1.0000,0.0748
404000,0.7761,0.1260,0.0928,0.0391,0.0000,0.0000,0.0000,0,23.5,0.9675,1.0000,0.0795
406000,0.7771,0.1187,0.0872,0.0347,0.0000,0.0000,0.0000,0,21.7,0.9719,1.0000,0.0767
408000,0.7817,0.1211,0.0840,0.0415,0.0000,0.0000,0.0000,0,22.4,0.9700,1.0000,0.0791
410000,0.7803,0.1152,0.0798,0.0405,0.0000,0.0000,0.0000,0,25.5,0.9639,1.0000,0.0777
412000,0.7794,0.1184,0.0813,0.0403,0.0000,0.0000,0.0000,0,25.6,0.9641,1.0000,0.0795
414000,0.7821,0.1196,0.0930,0.0310,0.0000,0.0000,0.0000,0,25.6,0.9648,1.0000,0.0782
416000,0.7777,0.1179,0.0859,0.0391,0.0000,0.0000,0.0000,0,24.2,0.9680,1.0000,0.0780
418000,0.7736,0.1294,0.0977,0.0376,0.0000,0.0000,0.0000,0,24.3,0.9663,1.0000,0.0791
420000,0.7812,0.1113,0.0840,0.0303,0.0000,0.0000,0.0000,0,21.3,0.9714,1.0000,0.0812
422000,0.7751,0.1267,0.0898,0.0413,0.0000,0.0000,0.0000,0,21.3,0.9734,1.0000,0.0753
424000,0.7778,0.1226,0.0894,0.0369,0.0000,0.0000,0.0000,0,22.0,0.9705,1.0000,0.0795
426000,0.7803,0.1191,0.0840,0.0400,0.0000,0.0000,0.0000,0,23.7,0.9675,1.0000,0.0807
