epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
4400,0.7837,0.9939,0.9937,0.0247,0.0032,0.0032,0.9792,1,70.4,0.9973,1.0000,0.0567
4450,0.7802,0.9978,0.9978,0.0164,0.0024,0.0022,0.9763,1,70.7,0.9973,1.0000,0.0546
4500,0.7788,0.9971,0.9971,0.0217,0.0056,0.0051,0.9795,1,70.5,0.9980,1.0000,0.0546
4550,0.7812,0.9951,0.9951,0.0171,0.0063,0.0056,0.9763,1,70.7,0.9968,1.0000,0.0532
4600,0.7775,0.9958,0.9954,0.0154,0.0020,0.0020,0.9817,1,70.6,0.9973,1.0000,0.0543
4650,0.7775,0.9939,0.9937,0.0173,0.0022,0.0022,0.9814,1,70.8,0.9980,1.0000,0.0517
4700,0.7812,0.9944,0.9944,0.0190,0.0029,0.0029,0.9756,1,70.3,0.9978,1.0000,0.0514
4750,0.7744,0.9961,0.9961,0.0146,0.0049,0.0049,0.9771,1,71.0,0.9963,1.0000,0.0511
4800,0.7787,0.9958,0.9958,0.0178,0.0024,0.0022,0.9749,1,70.2,0.9983,1.0000,0.0518
4850,0.7760,0.9971,0.9971,0.0203,0.0005,0.0002,0.9778,1,69.2,0.9988,1.0000,0.0519
4900,0.7837,0.9946,0.9946,0.0181,0.0000,0.0000,0.9797,1,68.8,0.9980,1.0000,0.0518
4950,0.7804,0.9937,0.9937,0.0256,0.0000,0.0000,0.9727,1,69.0,0.9978,1.0000,0.0524
5000,0.7750,0.9958,0.9958,0.0203,0.0000,0.0000,0.9802,1,69.5,0.9980,1.0000,0.0520
5050,0.7777,0.9963,0.9961,0.0217,0.0005,0.0005,0.9761,1,69.6,0.9968,1.0000,0.0519
5100,0.7753,0.9954,0.9954,0.0164,0.0007,0.0007,0.9792,1,69.7,0.9968,1.0000,0.0516
5150,0.7760,0.9961,0.9961,0.0229,0.0005,0.0005,0.9736,1,70.1,0.9963,1.0000,0.0512
5200,0.7745,0.9932,0.9927,0.0183,0.0017,0.0017,0.9702,1,69.6,0.9973,1.0000,0.0514
5250,0.7805,0.9949,0.9946,0.0203,0.0002,0.0002,0.9724,1,70.4,0.9961,1.0000,0.0519
5300,0.7821,0.9958,0.9956,0.0188,0.0000,0.0000,0.9802,1,69.1,0.9983,1.0000,0.0523
5350,0.7814,0.9949,0.9946,0.0181,0.0002,0.0002,0.9766,1,70.6,0.9968,1.0000,0.0525
5400,0.7770,0.9951,0.9949,0.0229,0.0000,0.0000,0.9739,1,70.3,0.9966,1.0000,0.0511
5450,0.7810,0.9951,0.9949,0.0264,0.0005,0.0000,0.9797,1,69.8,0.9971,1.0000,0.0515
5500,0.7780,0.9963,0.9963,0.0208,0.0000,0.0000,0.9788,1,69.8,0.9968,1.0000,0.0518
5550,0.7812,0.9951,0.9951,0.0217,0.0000,0.0000,0.9800,1,69.3,0.9980,1.0000,0.0507
5600,0.7841,0.9954,0.9951,0.0183,0.0007,0.0007,0.9768,1,69.9,0.9978,1.0000,0.0522
5650,0.7792,0.9937,0.9937,0.0198,0.0024,0.0024,0.9756,1,68.8,0.9983,1.0000,0.0519
5700,0.7847,0.9958,0.9958,0.0210,0.0000,0.0000,0.9788,1,69.5,0.9980,1.0000,0.0528
5750,0.7828,0.9966,0.9963,0.0208,0.0017,0.0017,0.9812,1,70.6,0.9973,1.0000,0.0518
5800,0.7792,0.9961,0.9961,0.0232,0.0037,0.0037,0.9775,1,69.6,0.9983,1.0000,0.0513
5850,0.7803,0.9958,0.9956,0.0195,0.0024,0.0024,0.9768,1,70.1,0.9978,1.0000,0.0524
5900,0.7771,0.9941,0.9941,0.0215,0.0010,0.0010,0.9734,1,69.7,0.9968,1.0000,0.0526
5950,0.7809,0.9939,0.9934,0.0198,0.0005,0.0002,0.9761,1,69.6,0.9980,1.0000,0.0512
6000,0.7766,0.9968,0.9968,0.0176,0.0017,0.0010,0.9780,1,70.5,0.9966,1.0000,0.0512
