epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
2280,0.7793,0.9988,0.9988,0.0000,0.7368,0.7368,0.9873,1,42.1,0.9946,1.0000,0.1945
2300,0.7745,0.9976,0.9976,0.0000,0.7263,0.7263,0.9863,1,41.1,0.9956,1.0000,0.1946
2320,0.7795,0.9976,0.9976,0.0000,0.7273,0.7273,0.9829,1,43.3,0.9934,0.9980,0.1932
2340,0.7776,0.9971,0.9971,0.0000,0.7551,0.7546,0.9856,1,42.9,0.9919,1.0000,0.1894
2360,0.7798,0.9976,0.9976,0.0000,0.7378,0.7378,0.9846,1,41.7,0.9939,1.0000,0.1880
2380,0.7798,0.9958,0.9958,0.0000,0.7302,0.7302,0.9849,1,42.2,0.9934,1.0000,0.1842
2400,0.7803,0.9958,0.9958,0.0005,0.7224,0.7224,0.9854,1,42.3,0.9929,1.0000,0.1866
2420,0.7803,0.9966,0.9966,0.0015,0.7283,0.7283,0.9858,1,42.3,0.9934,1.0000,0.1832
2440,0.7822,0.9973,0.9973,0.0022,0.7080,0.7080,0.9866,1,42.5,0.9932,0.9980,0.1805
2460,0.7794,0.9963,0.9963,0.0027,0.7195,0.7195,0.9895,1,41.1,0.9946,1.0000,0.1778
2480,0.7765,0.9956,0.9956,0.0020,0.7017,0.7014,0.9810,1,45.0,0.9897,0.9961,0.1753
2500,0.7755,0.9978,0.9978,0.0034,0.6848,0.6846,0.9897,1,44.1,0.9924,1.0000,0.1776
2520,0.7770,0.9980,0.9980,0.0022,0.6882,0.6882,0.9863,1,42.9,0.9937,0.9980,0.1777
2540,0.7786,0.9966,0.9966,0.0024,0.6738,0.6726,0.9858,1,43.0,0.9924,1.0000,0.1709
2560,0.7795,0.9951,0.9951,0.0015,0.6594,0.6572,0.9849,1,42.6,0.9934,1.0000,0.1711
2580,0.7821,0.9954,0.9954,0.0000,0.6763,0.6753,0.9841,1,43.0,0.9917,0.9980,0.1687
2600,0.7841,0.9976,0.9976,0.0000,0.6855,0.6833,0.9836,1,44.0,0.9897,0.9980,0.1706
2620,0.7775,0.9983,0.9983,0.0002,0.6855,0.6816,0.9858,1,43.0,0.9934,0.9980,0.1656
2640,0.7804,0.9958,0.9958,0.0007,0.6921,0.6895,0.9866,1,43.0,0.9941,0.9980,0.1612
2660,0.7814,0.9971,0.9971,0.0015,0.6592,0.6580,0.9849,1,42.2,0.9939,0.9980,0.1571
2680,0.7800,0.9980,0.9980,0.0034,0.6511,0.6494,0.9883,1,41.5,0.9954,0.9961,0.1604
2700,0.7778,0.9958,0.9958,0.0017,0.6155,0.6152,0.9880,1,42.4,0.9932,1.0000,0.1576
2720,0.7782,0.9968,0.9968,0.0010,0.6450,0.6443,0.9851,1,43.1,0.9927,1.0000,0.1559
2740,0.7847,0.9968,0.9968,0.0002,0.6384,0.6372,0.9873,1,41.6,0.9949,0.9980,0.1540
2760,0.7794,0.9978,0.9978,0.0000,0.6458,0.6445,0.9829,1,42.7,0.9917,0.9980,0.1530
